Job Title,Company,Location,Experience Level,Date,Skills,Job Type,Application Link
General Purchasing Officer,Burjline Builders -,"Riyadh, Saudi Arabia",· 2 - 5 Yrs of Exp,Not listed,"Purchasing, Procurement, Logistics, Supply Chain, Microsoft Office, Business Administration, English, Commerce, Communication Skills, Engineering, Local Purchasing, Manufacturing, Medical, Accounting, , , , , , ",Full Time,https://wuzzuf.net/jobs/p/g/oeyauwpgv2pj-general-purchasing-officer-burjline-builders-riyadh-saudi-arabia
Principal HSES Specialist,"McDermott International, Ltd -","Dubai, United Arab Emirates",· 5 - 10 Yrs of Exp,Not listed,"HSE, Engineering, Quality Control, Quality Assurance, Quality, Science, Safety, Health & Safety, OSHA, Health, First Aid, Risk Assessment, Fire Fighting, Health and Safety, ISO, Microsoft Office, Computer Science, , , ",Full Time,https://wuzzuf.net/jobs/p/g/frd6r9lslkf6-principal-hses-specialist-mcdermott-international-ltd-dubai-united-arab-emirates
Technician (Mechanical & Electronics),AgriCan -,"Mansoura, Dakahlia, Egypt",· 0 - 3 Yrs of Exp,Not listed,"Engineering, technician, Mechanical, Maintenance, Electronics, Power, Computer Science, Information Technology (IT)",Full Time,https://wuzzuf.net/jobs/p/rcamhb3vicwf-technician-mechanical-electronics-agrican-dakahlia-egypt
Fire and Safety Consultant & Business Development Manager,U X E SECURITY SOLUTIONS L.L.C -,"Dubai, United Arab Emirates",Not listed,Not listed,"Engineering, Fire Fighting, Architect, Architecture, Concept Design, Consulting Firm, Design, Fire Safety, HSE, HVAC, Pest Control, RFP, Safety, Agribusiness, Agriculture, AutoCAD, AutoCAD 2D, Consulting, , ",Full Time,https://wuzzuf.net/jobs/p/g/vcezgat3xkwd-fire-and-safety-consultant-business-development-manager-u-x-e-security-solutions-l-l-c-dubai-united-arab-emirates
Landscape Project Manager,Lilly Landscape -,"Cairo, Egypt",· 7 - 15 Yrs of Exp,Not listed,"Architecture, Communication, Management, Project, Engineering, Construction, Communication skills, Project Management, AutoCAD, Microsoft Office",Full Time,https://wuzzuf.net/jobs/p/h3uwa5ahs5mc-landscape-project-manager-lilly-landscape-cairo-egypt
Construction Manager,El Banna Group Company -,"Alsadat City, Monufya, Egypt",· 15 - 20 Yrs of Exp,Not listed,"Project Management, Team Leadership",Full Time,https://wuzzuf.net/jobs/p/2qgtaipk2j49-construction-manager-el-banna-group-company-monufya-egypt
Quality Manager (Food Company),Confidential -,"Obour City, Cairo, Egypt",· 10 - 15 Yrs of Exp,Not listed,"Food Safety, Process Improvement, Communication, Problem Solving",Full Time,https://wuzzuf.net/jobs/p/alabzkqrqvso-quality-manager-food-company-cairo-egypt
Maintenance Manager,El Banna Group Company -,"Alsadat City, Monufya, Egypt",· 10+ Yrs of Exp,Not listed,"Maintenance Management, Preventive Maintenance, Budget Management",Full Time,https://wuzzuf.net/jobs/p/yaezhsp7qvtn-maintenance-manager-el-banna-group-company-monufya-egypt
Medical Device Sales Representative - Monufya,medicalcity -,"Shebin Alkom, Monufya, Egypt",· 1 - 3 Yrs of Exp,Not listed,"Medical, Medical Sales, Medical Devices Sales, Health Care, Sales Target, Sales Field, NICU, Ultrasound, Veterinary, Biomedical, Biomedical Engineering, Pharmacy, Communication, English, Healthcare",Full Time,https://wuzzuf.net/jobs/p/gregkmlgmjcw-medical-device-sales-representative-monufya-medicalcity-monufya-egypt
Medical Device Sales Representative - Mahalla Kubra,medicalcity -,"Mahalla Kubra, Gharbia, Egypt",· 1 - 3 Yrs of Exp,Not listed,"Medical, Healthcare, Sales, Sales Target, Selling, sales skills, CRM, icu, NICU, Medical Devices Sales, Ultrasound, Veterinary, Veterinary Medicine, Biomedical, Biomedical Engineering, Pharmacy",Full Time,https://wuzzuf.net/jobs/p/240nrfa5ljhf-medical-device-sales-representative-mahalla-kubra-medicalcity-gharbia-egypt
Supply Chain Director,Confidential -,"Alsadat City, Monufya, Egypt",· 7 - 10 Yrs of Exp,Not listed,"FMCG, Planning, Procurement, Purchasing, Supply Chain, Warehousing, SAP, Management, inventory, Logistics",Full Time,https://wuzzuf.net/jobs/p/m2tipnbyfch4-supply-chain-director-monufya-egypt
Lead Quality Assurance,ORGANI GROUP -,"Cairo, Egypt",· 5 - 7 Yrs of Exp,Not listed,"ISO, QA, quality, Quality Assurance, Construction, Management, Quality Control, Safety, Auditing",Full Time,https://wuzzuf.net/jobs/p/bfyzeuyw48zu-lead-quality-assurance-organi-group-cairo-egypt
Project Manager (Thamarat Platform),Burjline Builders -,"Riyadh, Saudi Arabia",· 2 - 5 Yrs of Exp,Not listed,"Project Management, Engineering, Information Technology (IT), Management, Computer Science, Civil Engineering, Microsoft Office, PMP, Construction, Architecture, Mechanical Engineering, AutoCAD, English, , , , , , , ",Full Time,https://wuzzuf.net/jobs/p/g/ci9mugzsysw1-project-manager-thamarat-platform-burjline-builders-riyadh-saudi-arabia
Sales Manager,Agile Consultants -,"Dubai, United Arab Emirates",Not listed,Not listed,"Sales, Sales Skills, Sales Target, Customer Service, Management, Customer Support, Customer Care, Marketing, Business Development, Microsoft Office, Account Management, Communication Skills, , , , , , , , ",Full Time,https://wuzzuf.net/jobs/p/g/3e811b8hgfyi-sales-manager-agile-consultants-dubai-united-arab-emirates
"Quality Manager Fruits & Vegetables, IQF",El Banna Group Company -,"Alsadat City, Monufya, Egypt",· 15 - 20 Yrs of Exp,Not listed,"frozen vegetables, HACCP, QC, Food Science, FSSC 22000",Full Time,https://wuzzuf.net/jobs/p/iddtkgx0dwvp-quality-manager-fruits-vegetables-iqf-el-banna-group-company-monufya-egypt
customer service / support Laboratory department,Medrail Group -,"Haram, Giza, Egypt",· 1 - 3 Yrs of Exp,Not listed,"Customer Service, Customer Support, Support Specialist",Full Time,https://wuzzuf.net/jobs/p/6ceufrtqjqyc-customer-service-support-laboratory-department-medrail-group-giza-egypt
